delivery_date,product_type,quantity
2026-01-01,Advanced_Chip,84
2026-01-03,Advanced_Chip,67
2026-01-05,Advanced_Chip,64
2026-01-06,Advanced_Chip,48
2026-01-07,Advanced_Chip,18
2026-01-08,Advanced_Chip,80
2026-01-09,Advanced_Chip,45
2026-01-10,Advanced_Chip,13
2026-01-11,Advanced_Chip,23
2026-01-12,Advanced_Chip,71
2026-01-13,Advanced_Chip,35
2026-01-16,Advanced_Chip,50
2026-01-18,Advanced_Chip,44
2026-01-19,Advanced_Chip,23
2026-01-21,Advanced_Chip,32
2026-01-22,Advanced_Chip,80
2026-01-23,Advanced_Chip,66
2026-01-24,Advanced_Chip,71
2026-01-25,Advanced_Chip,36
2026-01-26,Advanced_Chip,36
2026-01-27,Advanced_Chip,88
2026-01-28,Advanced_Chip,71
2026-01-29,Advanced_Chip,65
2026-01-30,Advanced_Chip,10
2026-01-31,Advanced_Chip,41
2026-02-01,Advanced_Chip,33
2026-02-02,Advanced_Chip,25
2026-02-03,Advanced_Chip,68
2026-02-04,Advanced_Chip,80
2026-02-05,Advanced_Chip,10
2026-02-06,Advanced_Chip,16
2026-02-07,Advanced_Chip,57
2026-02-08,Advanced_Chip,28
2026-02-09,Advanced_Chip,84
2026-02-10,Advanced_Chip,34
2026-02-11,Advanced_Chip,44
2026-02-12,Advanced_Chip,57
2026-02-13,Advanced_Chip,57
2026-02-14,Advanced_Chip,47
2026-02-15,Advanced_Chip,37
2026-02-16,Advanced_Chip,44
2026-02-17,Advanced_Chip,15
2026-02-18,Advanced_Chip,69
2026-02-19,Advanced_Chip,27
2026-02-20,Advanced_Chip,33
2026-02-21,Advanced_Chip,26
2026-02-22,Advanced_Chip,51
2026-02-23,Advanced_Chip,16
2026-02-24,Advanced_Chip,85
2026-02-25,Advanced_Chip,72
2026-02-26,Advanced_Chip,58
2026-02-27,Advanced_Chip,17
2026-03-01,Advanced_Chip,39
2026-03-02,Advanced_Chip,64
2026-03-03,Advanced_Chip,21
2026-03-04,Advanced_Chip,57
2026-03-05,Advanced_Chip,78
2026-03-06,Advanced_Chip,66
2026-03-08,Advanced_Chip,48
2026-03-09,Advanced_Chip,43
2026-03-10,Advanced_Chip,78
2026-03-11,Advanced_Chip,41
2026-03-12,Advanced_Chip,42
2026-03-13,Advanced_Chip,83
2026-03-14,Advanced_Chip,11
2026-03-16,Advanced_Chip,16
2026-03-17,Advanced_Chip,45
2026-03-18,Advanced_Chip,45
2026-03-19,Advanced_Chip,46
2026-03-20,Advanced_Chip,26
2026-03-21,Advanced_Chip,28
2026-03-23,Advanced_Chip,25
2026-03-24,Advanced_Chip,32
2026-03-25,Advanced_Chip,48
2026-03-26,Advanced_Chip,27
2026-03-27,Advanced_Chip,16
2026-03-28,Advanced_Chip,75
2026-03-29,Advanced_Chip,74
2026-03-30,Advanced_Chip,45
2026-03-31,Advanced_Chip,83
2026-04-02,Advanced_Chip,12
2026-04-03,Advanced_Chip,67
2026-04-04,Advanced_Chip,84
2026-04-06,Advanced_Chip,12
2026-04-08,Advanced_Chip,45
2026-04-09,Advanced_Chip,73
2026-04-10,Advanced_Chip,38
2026-04-11,Advanced_Chip,78
2026-04-12,Advanced_Chip,14
2026-04-13,Advanced_Chip,58
2026-04-14,Advanced_Chip,58
2026-04-15,Advanced_Chip,30
2026-04-16,Advanced_Chip,14
2026-04-17,Advanced_Chip,26
2026-04-18,Advanced_Chip,71
2026-04-19,Advanced_Chip,48
2026-04-20,Advanced_Chip,21
2026-04-21,Advanced_Chip,26
2026-04-22,Advanced_Chip,84
2026-04-23,Advanced_Chip,39
2026-04-24,Advanced_Chip,88
2026-04-25,Advanced_Chip,26
2026-04-26,Advanced_Chip,75
2026-04-27,Advanced_Chip,64
2026-04-28,Advanced_Chip,13
2026-04-29,Advanced_Chip,59
2026-04-30,Advanced_Chip,70
2026-05-01,Advanced_Chip,55
2026-05-03,Advanced_Chip,72
2026-05-05,Advanced_Chip,37
2026-05-07,Advanced_Chip,27
2026-05-08,Advanced_Chip,37
2026-05-10,Advanced_Chip,19
2026-05-11,Advanced_Chip,43
2026-05-12,Advanced_Chip,15
2026-05-13,Advanced_Chip,42
2026-05-14,Advanced_Chip,13
2026-05-16,Advanced_Chip,75
2026-05-17,Advanced_Chip,60
2026-05-18,Advanced_Chip,54
2026-05-19,Advanced_Chip,29
2026-05-20,Advanced_Chip,20
2026-05-21,Advanced_Chip,19
