delivery_date,product_type,quantity,Customer
2026-01-01,Advanced_Chip,84,Dell
2026-01-03,Advanced_Chip,67,ASUS
2026-01-05,Advanced_Chip,64,Siemens
2026-01-06,Advanced_Chip,48,Microsoft
2026-01-07,Advanced_Chip,18,Tesla
2026-01-08,Advanced_Chip,80,Foxconn
2026-01-09,Advanced_Chip,45,Meta
2026-01-10,Advanced_Chip,13,Meta
2026-01-11,Advanced_Chip,23,Meta
2026-01-12,Advanced_Chip,71,Foxconn
2026-01-13,Advanced_Chip,35,Dell
2026-01-16,Advanced_Chip,50,Siemens
2026-01-18,Advanced_Chip,44,Foxconn
2026-01-19,Advanced_Chip,23,Tesla
2026-01-21,Advanced_Chip,32,Tesla
2026-01-22,Advanced_Chip,80,ASUS
2026-01-23,Advanced_Chip,66,Foxconn
2026-01-24,Advanced_Chip,71,Best Buy
2026-01-25,Advanced_Chip,36,Foxconn
2026-01-26,Advanced_Chip,36,Microsoft
2026-01-27,Advanced_Chip,88,ASUS
2026-01-28,Advanced_Chip,71,Meta
2026-01-29,Advanced_Chip,65,Microsoft
2026-01-30,Advanced_Chip,10,Tesla
2026-01-31,Advanced_Chip,41,Siemens
2026-02-01,Advanced_Chip,33,Foxconn
2026-02-02,Advanced_Chip,25,Siemens
2026-02-03,Advanced_Chip,68,ASUS
2026-02-04,Advanced_Chip,80,Foxconn
2026-02-05,Advanced_Chip,10,Dell
2026-02-06,Advanced_Chip,16,Foxconn
2026-02-07,Advanced_Chip,57,Dell
2026-02-08,Advanced_Chip,28,Meta
2026-02-09,Advanced_Chip,84,ASUS
2026-02-10,Advanced_Chip,34,Foxconn
2026-02-11,Advanced_Chip,44,Siemens
2026-02-12,Advanced_Chip,57,Meta
2026-02-13,Advanced_Chip,57,Meta
2026-02-14,Advanced_Chip,47,Tesla
2026-02-15,Advanced_Chip,37,Microsoft
2026-02-16,Advanced_Chip,44,Tesla
2026-02-17,Advanced_Chip,15,Dell
2026-02-18,Advanced_Chip,69,Tesla
