week,delivery_date,order_id,Customer,product_type,quantity
2026-W01,2026-01-01,ORD-7A3834,Dell,Advanced_Chip,84
2026-W01,2026-01-03,ORD-0C11DA,Best Buy,Advanced_Chip,67
2026-W02,2026-01-05,ORD-859D24,Meta,Advanced_Chip,64
2026-W02,2026-01-06,ORD-8B9281,ASUS,Advanced_Chip,48
2026-W02,2026-01-07,ORD-0E8626,Tesla,Advanced_Chip,18
2026-W02,2026-01-08,ORD-2B506E,Siemens,Advanced_Chip,80
2026-W02,2026-01-09,ORD-29E78E,ASUS,Advanced_Chip,45
2026-W02,2026-01-10,ORD-EE817D,Microsoft,Advanced_Chip,13
2026-W02,2026-01-11,ORD-9BFB54,Meta,Advanced_Chip,23
2026-W03,2026-01-12,ORD-54F6AC,Meta,Advanced_Chip,71
2026-W03,2026-01-13,ORD-5CC17C,Foxconn,Advanced_Chip,35
2026-W03,2026-01-16,ORD-AA4609,ASUS,Advanced_Chip,50
2026-W03,2026-01-18,ORD-D431F3,Dell,Advanced_Chip,44
2026-W04,2026-01-19,ORD-B17334,Siemens,Advanced_Chip,23
2026-W04,2026-01-21,ORD-756CE4,Microsoft,Advanced_Chip,32
2026-W04,2026-01-22,ORD-DF17D5,Meta,Advanced_Chip,80
2026-W04,2026-01-23,ORD-F83D96,Meta,Advanced_Chip,66
2026-W04,2026-01-24,ORD-A771D8,Dell,Advanced_Chip,71
2026-W04,2026-01-25,ORD-A940DD,Dell,Advanced_Chip,36
2026-W05,2026-01-26,ORD-79EB3C,Foxconn,Advanced_Chip,36
2026-W05,2026-01-27,ORD-2F9A19,Tesla,Advanced_Chip,88
2026-W05,2026-01-28,ORD-AE3DEE,Microsoft,Advanced_Chip,71
2026-W05,2026-01-29,ORD-F73269,Tesla,Advanced_Chip,65
2026-W05,2026-01-30,ORD-FE728A,Foxconn,Advanced_Chip,10
2026-W05,2026-01-31,ORD-2CE226,Siemens,Advanced_Chip,41
2026-W05,2026-02-01,ORD-547C04,Best Buy,Advanced_Chip,33
2026-W06,2026-02-02,ORD-702F24,Microsoft,Advanced_Chip,25
2026-W06,2026-02-03,ORD-F8CBE7,Siemens,Advanced_Chip,68
2026-W06,2026-02-04,ORD-B19876,Tesla,Advanced_Chip,80
2026-W06,2026-02-05,ORD-2E8BAA,Meta,Advanced_Chip,10
2026-W06,2026-02-06,ORD-E14FB1,Dell,Advanced_Chip,16
2026-W06,2026-02-07,ORD-488B7A,Microsoft,Advanced_Chip,57
2026-W06,2026-02-08,ORD-37447D,ASUS,Advanced_Chip,28
2026-W07,2026-02-09,ORD-82A16F,Tesla,Advanced_Chip,84
2026-W07,2026-02-10,ORD-1BAAD8,Foxconn,Advanced_Chip,34
2026-W07,2026-02-11,ORD-151CAF,Siemens,Advanced_Chip,44
2026-W07,2026-02-12,ORD-6F7EC3,ASUS,Advanced_Chip,57
2026-W07,2026-02-13,ORD-CEC5F8,Foxconn,Advanced_Chip,57
2026-W07,2026-02-14,ORD-791BC5,Dell,Advanced_Chip,47
2026-W07,2026-02-15,ORD-A1526C,Foxconn,Advanced_Chip,37
2026-W08,2026-02-16,ORD-D44CD9,Best Buy,Advanced_Chip,44
2026-W08,2026-02-17,ORD-0110AB,Foxconn,Advanced_Chip,15
2026-W08,2026-02-18,ORD-157426,Microsoft,Advanced_Chip,69
2026-W08,2026-02-19,ORD-AFEE19,Dell,Advanced_Chip,27
2026-W08,2026-02-20,ORD-4FF386,Microsoft,Advanced_Chip,33
2026-W08,2026-02-21,ORD-486B05,Best Buy,Advanced_Chip,26
2026-W08,2026-02-22,ORD-86F42D,Microsoft,Advanced_Chip,51
2026-W09,2026-02-23,ORD-26B01A,Foxconn,Advanced_Chip,16
2026-W09,2026-02-24,ORD-F0B68D,ASUS,Advanced_Chip,85
2026-W09,2026-02-25,ORD-DEB1E6,Dell,Advanced_Chip,72
2026-W09,2026-02-26,ORD-1A16E4,Dell,Advanced_Chip,58
2026-W09,2026-02-27,ORD-C53ACB,Foxconn,Advanced_Chip,17
2026-W09,2026-03-01,ORD-40D6B0,Dell,Advanced_Chip,39
2026-W10,2026-03-02,ORD-F4B121,Dell,Advanced_Chip,64
2026-W10,2026-03-03,ORD-5524B9,Best Buy,Advanced_Chip,21
2026-W10,2026-03-04,ORD-2DBD21,Foxconn,Advanced_Chip,57
2026-W10,2026-03-05,ORD-2401A6,ASUS,Advanced_Chip,78
2026-W10,2026-03-06,ORD-BFECFE,Best Buy,Advanced_Chip,66
2026-W10,2026-03-08,ORD-186B20,Meta,Advanced_Chip,48
2026-W11,2026-03-09,ORD-21AC4B,Meta,Advanced_Chip,43
2026-W11,2026-03-10,ORD-E889D9,Tesla,Advanced_Chip,78
2026-W11,2026-03-11,ORD-D3C006,Microsoft,Advanced_Chip,41
2026-W11,2026-03-12,ORD-8B2DA1,Dell,Advanced_Chip,42
2026-W11,2026-03-13,ORD-A35359,Foxconn,Advanced_Chip,83
2026-W11,2026-03-14,ORD-8F3A9C,Best Buy,Advanced_Chip,11
2026-W12,2026-03-16,ORD-B96312,Foxconn,Advanced_Chip,16
2026-W12,2026-03-17,ORD-E59136,Siemens,Advanced_Chip,45
2026-W12,2026-03-18,ORD-50D6F0,Meta,Advanced_Chip,45
2026-W12,2026-03-19,ORD-0B27DB,ASUS,Advanced_Chip,46
2026-W12,2026-03-20,ORD-ED57C1,Microsoft,Advanced_Chip,26
2026-W12,2026-03-21,ORD-C3C535,Siemens,Advanced_Chip,28
2026-W13,2026-03-23,ORD-709404,Best Buy,Advanced_Chip,25
2026-W13,2026-03-24,ORD-FD85BB,Dell,Advanced_Chip,32
2026-W13,2026-03-25,ORD-483432,ASUS,Advanced_Chip,48
2026-W13,2026-03-26,ORD-BEABD4,Meta,Advanced_Chip,27
2026-W13,2026-03-27,ORD-7F02CB,Siemens,Advanced_Chip,16
2026-W13,2026-03-28,ORD-3C8C3D,Best Buy,Advanced_Chip,75
2026-W13,2026-03-29,ORD-F91354,Best Buy,Advanced_Chip,74
2026-W14,2026-03-30,ORD-13FB94,Dell,Advanced_Chip,45
2026-W14,2026-03-31,ORD-3C3974,Microsoft,Advanced_Chip,83
2026-W14,2026-04-02,ORD-231A7A,ASUS,Advanced_Chip,12
2026-W14,2026-04-03,ORD-538C72,ASUS,Advanced_Chip,67
2026-W14,2026-04-04,ORD-779B44,Best Buy,Advanced_Chip,84
2026-W15,2026-04-06,ORD-B90621,ASUS,Advanced_Chip,12
2026-W15,2026-04-08,ORD-FE3EBE,Foxconn,Advanced_Chip,45
2026-W15,2026-04-09,ORD-33AB01,Tesla,Advanced_Chip,73
2026-W15,2026-04-10,ORD-911525,Dell,Advanced_Chip,38
2026-W15,2026-04-11,ORD-4713EA,Siemens,Advanced_Chip,78
2026-W15,2026-04-12,ORD-F28F26,Microsoft,Advanced_Chip,14
2026-W16,2026-04-13,ORD-8356D0,Microsoft,Advanced_Chip,58
2026-W16,2026-04-14,ORD-6BAF9D,Dell,Advanced_Chip,58
2026-W16,2026-04-15,ORD-97A9EC,Best Buy,Advanced_Chip,30
2026-W16,2026-04-16,ORD-44CE6A,Tesla,Advanced_Chip,14
2026-W16,2026-04-17,ORD-4FBB77,Microsoft,Advanced_Chip,26
2026-W16,2026-04-18,ORD-8C0C4E,Best Buy,Advanced_Chip,71
2026-W16,2026-04-19,ORD-619132,Microsoft,Advanced_Chip,48
2026-W17,2026-04-20,ORD-41F8D7,Foxconn,Advanced_Chip,21
2026-W17,2026-04-21,ORD-F74EF1,Best Buy,Advanced_Chip,26
2026-W17,2026-04-22,ORD-36148A,Dell,Advanced_Chip,84
2026-W17,2026-04-23,ORD-937264,Foxconn,Advanced_Chip,39
2026-W17,2026-04-24,ORD-4BEE14,Meta,Advanced_Chip,88
2026-W17,2026-04-25,ORD-4F6BB4,Microsoft,Advanced_Chip,26
2026-W17,2026-04-26,ORD-817528,Siemens,Advanced_Chip,75
2026-W18,2026-04-27,ORD-308DE3,Microsoft,Advanced_Chip,64
2026-W18,2026-04-28,ORD-7C71AB,Dell,Advanced_Chip,13
2026-W18,2026-04-29,ORD-E00F26,Foxconn,Advanced_Chip,59
2026-W18,2026-04-30,ORD-CCB8F0,Tesla,Advanced_Chip,70
2026-W18,2026-05-01,ORD-5F5C99,Foxconn,Advanced_Chip,55
2026-W18,2026-05-03,ORD-533EF9,Foxconn,Advanced_Chip,72
2026-W19,2026-05-05,ORD-CB72BF,Tesla,Advanced_Chip,37
2026-W19,2026-05-07,ORD-F995B2,Best Buy,Advanced_Chip,27
2026-W19,2026-05-08,ORD-4B8AF6,Meta,Advanced_Chip,37
2026-W19,2026-05-10,ORD-A3314A,Best Buy,Advanced_Chip,19
2026-W20,2026-05-11,ORD-0BE39D,Tesla,Advanced_Chip,43
2026-W20,2026-05-12,ORD-EEACAE,Meta,Advanced_Chip,15
2026-W20,2026-05-13,ORD-907D69,Microsoft,Advanced_Chip,42
2026-W20,2026-05-14,ORD-638971,ASUS,Advanced_Chip,13
2026-W20,2026-05-16,ORD-C2B45F,Meta,Advanced_Chip,75
2026-W20,2026-05-17,ORD-150391,Foxconn,Advanced_Chip,60
2026-W21,2026-05-18,ORD-6D9C33,ASUS,Advanced_Chip,54
2026-W21,2026-05-19,ORD-046939,Tesla,Advanced_Chip,29
2026-W21,2026-05-20,ORD-573B6E,Tesla,Advanced_Chip,20
2026-W21,2026-05-21,ORD-B4ECD8,Foxconn,Advanced_Chip,19
2026-W21,2026-05-22,ORD-7563C3,Microsoft,Advanced_Chip,74
2026-W21,2026-05-23,ORD-FD4DCB,Tesla,Advanced_Chip,47
2026-W21,2026-05-24,ORD-6CC8D8,Tesla,Advanced_Chip,59
2026-W22,2026-05-25,ORD-71BCE7,Microsoft,Advanced_Chip,10
2026-W22,2026-05-26,ORD-52BE25,Best Buy,Advanced_Chip,20
2026-W22,2026-05-27,ORD-1B5D91,Dell,Advanced_Chip,14
2026-W22,2026-05-28,ORD-3FDAE0,Tesla,Advanced_Chip,51
2026-W22,2026-05-29,ORD-231B12,Meta,Advanced_Chip,60
2026-W22,2026-05-30,ORD-EB1A3C,Microsoft,Advanced_Chip,26
2026-W22,2026-05-31,ORD-D7B2B2,Foxconn,Advanced_Chip,48
2026-W23,2026-06-01,ORD-5A1955,Microsoft,Advanced_Chip,24
2026-W23,2026-06-02,ORD-B115E8,Best Buy,Advanced_Chip,38
2026-W23,2026-06-03,ORD-025BB2,Best Buy,Advanced_Chip,77
2026-W23,2026-06-04,ORD-12E3B7,Siemens,Advanced_Chip,47
2026-W23,2026-06-05,ORD-56415D,Tesla,Advanced_Chip,14
2026-W23,2026-06-07,ORD-FC4973,Dell,Advanced_Chip,29
2026-W24,2026-06-08,ORD-C7456A,Tesla,Advanced_Chip,56
2026-W24,2026-06-09,ORD-6CF386,Microsoft,Advanced_Chip,69
2026-W24,2026-06-10,ORD-6A0CB9,Tesla,Advanced_Chip,81
2026-W24,2026-06-11,ORD-B4A324,Foxconn,Advanced_Chip,38
2026-W24,2026-06-12,ORD-3BF510,Siemens,Advanced_Chip,30
2026-W24,2026-06-13,ORD-0EBEEB,Tesla,Advanced_Chip,64
2026-W24,2026-06-14,ORD-7804C7,Siemens,Advanced_Chip,83
2026-W25,2026-06-15,ORD-4F693A,Siemens,Advanced_Chip,47
2026-W25,2026-06-16,ORD-097E3B,Microsoft,Advanced_Chip,52
2026-W25,2026-06-17,ORD-F7AA38,Best Buy,Advanced_Chip,61
2026-W25,2026-06-18,ORD-9194AF,ASUS,Advanced_Chip,31
2026-W25,2026-06-19,ORD-132213,Best Buy,Advanced_Chip,58
2026-W25,2026-06-20,ORD-B7F976,Foxconn,Advanced_Chip,58
2026-W25,2026-06-21,ORD-93BA2A,Tesla,Advanced_Chip,65
2026-W26,2026-06-23,ORD-E1FA62,Dell,Advanced_Chip,56
2026-W26,2026-06-24,ORD-86B7E7,ASUS,Advanced_Chip,72
2026-W26,2026-06-25,ORD-75C039,Dell,Advanced_Chip,19
2026-W26,2026-06-26,ORD-E7B1FA,Microsoft,Advanced_Chip,41
2026-W26,2026-06-27,ORD-6065C7,Meta,Advanced_Chip,68
2026-W26,2026-06-28,ORD-D6A293,Dell,Advanced_Chip,60
2026-W27,2026-06-29,ORD-AE947D,Best Buy,Advanced_Chip,87
2026-W27,2026-06-30,ORD-65ED6C,ASUS,Advanced_Chip,23
2026-W27,2026-07-02,ORD-C8228D,Dell,Advanced_Chip,69
2026-W27,2026-07-03,ORD-3C129F,Siemens,Advanced_Chip,11
2026-W27,2026-07-04,ORD-3F2D5D,Meta,Advanced_Chip,18
2026-W27,2026-07-05,ORD-4E96ED,ASUS,Advanced_Chip,83
2026-W28,2026-07-06,ORD-5BDE70,Best Buy,Advanced_Chip,23
2026-W28,2026-07-07,ORD-00D97B,Best Buy,Advanced_Chip,31
2026-W28,2026-07-08,ORD-401B68,ASUS,Advanced_Chip,46
2026-W28,2026-07-09,ORD-DD2D79,Microsoft,Advanced_Chip,50
2026-W28,2026-07-10,ORD-3AD37E,Microsoft,Advanced_Chip,36
2026-W28,2026-07-11,ORD-4C34B2,Meta,Advanced_Chip,62
2026-W28,2026-07-12,ORD-4485B7,Tesla,Advanced_Chip,55
2026-W29,2026-07-13,ORD-C0C0F1,Dell,Advanced_Chip,62
2026-W29,2026-07-14,ORD-AEF933,Meta,Advanced_Chip,20
