week,delivery_date,product_type,quantity
2026-W01,1/1/26,Subcomponent_1,2038
2026-W01,1/1/26,Subcomponent_2,2017
2026-W01,1/2/26,Subcomponent_1,45
2026-W01,1/2/26,Subcomponent_2,12
2026-W01,1/3/26,Subcomponent_1,39
2026-W01,1/3/26,Subcomponent_2,30
2026-W01,1/4/26,Subcomponent_1,34
2026-W01,1/4/26,Subcomponent_2,51
2026-W02,1/5/26,Subcomponent_1,24
2026-W02,1/5/26,Subcomponent_2,56
2026-W02,1/6/26,Subcomponent_1,12
2026-W02,1/6/26,Subcomponent_2,16
2026-W02,1/7/26,Subcomponent_2,23
2026-W02,1/8/26,Subcomponent_2,37
2026-W02,1/9/26,Subcomponent_1,17
2026-W02,1/10/26,Subcomponent_1,13
2026-W02,1/10/26,Subcomponent_2,15
2026-W02,1/11/26,Subcomponent_1,27
2026-W02,1/11/26,Subcomponent_2,43
2026-W03,1/12/26,Subcomponent_1,24
2026-W03,1/13/26,Subcomponent_1,25
2026-W03,1/13/26,Subcomponent_2,56
2026-W03,1/14/26,Subcomponent_1,38
2026-W03,1/14/26,Subcomponent_2,10
2026-W03,1/15/26,Subcomponent_1,10
2026-W03,1/15/26,Subcomponent_2,33
2026-W03,1/16/26,Subcomponent_1,17
2026-W03,1/16/26,Subcomponent_2,42
2026-W03,1/17/26,Subcomponent_1,18
2026-W03,1/17/26,Subcomponent_2,43
2026-W03,1/18/26,Subcomponent_1,33
2026-W03,1/18/26,Subcomponent_2,53
2026-W04,1/19/26,Subcomponent_1,46
2026-W04,1/19/26,Subcomponent_2,12
2026-W04,1/20/26,Subcomponent_1,18
2026-W04,1/20/26,Subcomponent_2,35
2026-W04,1/21/26,Subcomponent_1,41
2026-W04,1/21/26,Subcomponent_2,41
2026-W04,1/22/26,Subcomponent_1,24
2026-W04,1/22/26,Subcomponent_2,45
2026-W04,1/23/26,Subcomponent_1,31
2026-W04,1/23/26,Subcomponent_2,51
2026-W04,1/24/26,Subcomponent_1,37
2026-W04,1/24/26,Subcomponent_2,53
2026-W04,1/25/26,Subcomponent_1,37
2026-W04,1/25/26,Subcomponent_2,42
2026-W05,1/26/26,Subcomponent_1,22
2026-W05,1/26/26,Subcomponent_2,48
2026-W05,1/27/26,Subcomponent_1,46
2026-W05,1/27/26,Subcomponent_2,51
2026-W05,1/28/26,Subcomponent_1,41
2026-W05,1/28/26,Subcomponent_2,50
2026-W05,1/29/26,Subcomponent_1,21
2026-W05,1/29/26,Subcomponent_2,11
2026-W05,1/30/26,Subcomponent_2,11
2026-W05,1/31/26,Subcomponent_1,11
2026-W05,1/31/26,Subcomponent_2,35
2026-W05,2/1/26,Subcomponent_1,20
2026-W05,2/1/26,Subcomponent_2,26
2026-W06,2/2/26,Subcomponent_1,43
2026-W06,2/2/26,Subcomponent_2,20
